Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Silt content at 15 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.82408452
Texture,Silt content at 15 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.12795264
Texture,Silt content at 15 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.45117181
Texture,Silt content at 15 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,31.72493695
Texture,Silt content at 15 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.4440643
Texture,Silt content at 15 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,41.05155197
Texture,Silt content at 15 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,40.16299312
Texture,Silt content at 15 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,31.18448456
Texture,Silt content at 15 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.19072633
Texture,Silt content at 15 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,40.45665434
Texture,Silt content at 15 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.64441622
Texture,Silt content at 15 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.0594432
Texture,Silt content at 15 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,38.88869165
Texture,Silt content at 15 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.80255742
Texture,Silt content at 15 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.10919057
Texture,Silt content at 15 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.86204327
Texture,Silt content at 15 cm deep,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.2980795
Texture,Silt content at 15 cm deep,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.51008614
Texture,Silt content at 15 cm deep,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.53313029
Texture,Silt content at 15 cm deep,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.1911697
Texture,Silt content at 15 cm deep,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,41.86669499
Texture,Silt content at 15 cm deep,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.43462852
Texture,Silt content at 15 cm deep,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.58847867
Texture,Silt content at 15 cm deep,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.16932773
Texture,Silt content at 15 cm deep,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.56395928
Texture,Silt content at 15 cm deep,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.04433075
Texture,Silt content at 15 cm deep,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.44140278
Texture,Silt content at 15 cm deep,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.47976776
Texture,Silt content at 15 cm deep,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.15232032
Texture,Silt content at 15 cm deep,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.62847366
Texture,Silt content at 15 cm deep,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.03108719
Texture,Silt content at 15 cm deep,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,34.96322658
Texture,Silt content at 15 cm deep,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.81006285
Texture,Silt content at 15 cm deep,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.78077172
Texture,Silt content at 15 cm deep,"Kootenay Boundary, British Columbia",,mass percent,point in time,12/31/16,12/31/16,43.92984958
Texture,Silt content at 15 cm deep,"Mount Waddington, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.29014142
Texture,Silt content at 15 cm deep,"Nanaimo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.732669
Texture,Silt content at 15 cm deep,"North Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,44.5725155
Texture,Silt content at 15 cm deep,"Northern Rockies, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.02750517
Texture,Silt content at 15 cm deep,"Okanagan-Similkameen, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.81764975
Texture,Silt content at 15 cm deep,"Peace River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.50059652
Texture,Silt content at 15 cm deep,"Powell River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,35.77709183
Texture,Silt content at 15 cm deep,"Skeena-Queen Charlotte, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.86755432
Texture,Silt content at 15 cm deep,"Squamish-Lillooet, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.47124289
Texture,Silt content at 15 cm deep,"Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.45291291
Texture,Silt content at 15 cm deep,"Sunshine Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,35.26181113
Texture,Silt content at 15 cm deep,"Thompson-Nicola, British Columbia",,mass percent,point in time,12/31/16,12/31/16,42.06387682
Texture,Silt content at 15 cm deep,"Division No. 1 - Eastern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,23.02518117
Texture,Silt content at 15 cm deep,"Division No. 10 - Whitehorse Plains, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.53154241
Texture,Silt content at 15 cm deep,"Division No. 11 - Winnipeg, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.35645215
Texture,Silt content at 15 cm deep,"Division No. 12 - Beausejour Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,26.61985184
Texture,Silt content at 15 cm deep,"Division No. 13 - Selkirk Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.54443298
Texture,Silt content at 15 cm deep,"Division No. 14 - South Interlake, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.35306268
Texture,Silt content at 15 cm deep,"Division No. 15 - Western Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,32.59899888
Texture,Silt content at 15 cm deep,"Division No. 16 - Roblin Russell Rossburn Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.30839628
Texture,Silt content at 15 cm deep,"Division No. 17 - Dauphin, Manitoba",,mass percent,point in time,12/31/16,12/31/16,30.70496714
Texture,Silt content at 15 cm deep,"Division No. 18 - North Interlake Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,31.20741616
Texture,Silt content at 15 cm deep,"Division No. 19 - North East, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.54518914
Texture,Silt content at 15 cm deep,"Division No. 2 - Steinbach Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,23.47745474
Texture,Silt content at 15 cm deep,"Division No. 20 - Swan River, Manitoba",,mass percent,point in time,12/31/16,12/31/16,31.38548995
Texture,Silt content at 15 cm deep,"Division No. 21 - Flin Flon, Manitoba",,mass percent,point in time,12/31/16,12/31/16,29.69871245
Texture,Silt content at 15 cm deep,"Division No. 22 - Thompson and North Central, Manitoba",,mass percent,point in time,12/31/16,12/31/16,28.6860821
Texture,Silt content at 15 cm deep,"Division No. 23 - Churchill and Northern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,27.80700918
Texture,Silt content at 15 cm deep,"Division No. 3 - Pembina Valley, Manitoba",,mass percent,point in time,12/31/16,12/31/16,30.9615785
Texture,Silt content at 15 cm deep,"Division No. 4 - Pilot Mound Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,34.51796369
Texture,Silt content at 15 cm deep,"Division No. 5 - South West, Manitoba",,mass percent,point in time,12/31/16,12/31/16,33.49722974
Texture,Silt content at 15 cm deep,"Division No. 6 - Virden Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,30.36014231
Texture,Silt content at 15 cm deep,"Division No. 7 - Brandon Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,28.40548288
Texture,Silt content at 15 cm deep,"Division No. 8 - Central Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,24.23724595
Texture,Silt content at 15 cm deep,"Division No. 9 - Portage la Prairie Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,28.26909266
Texture,Silt content at 15 cm deep,"Albert, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,37.50500086
Texture,Silt content at 15 cm deep,"Carleton, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,40.74793054
Texture,Silt content at 15 cm deep,"Charlotte, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,35.62941431
Texture,Silt content at 15 cm deep,"Gloucester, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,33.01725814
Texture,Silt content at 15 cm deep,"Kent, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,29.97213924
Texture,Silt content at 15 cm deep,"Kings, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,38.61338345
Texture,Silt content at 15 cm deep,"Madawaska, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,42.78507289
Texture,Silt content at 15 cm deep,"Northumberland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,34.9068061
Texture,Silt content at 15 cm deep,"Queens, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,35.51972411
Texture,Silt content at 15 cm deep,"Restigouche, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,40.50248785
Texture,Silt content at 15 cm deep,"Saint John, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,36.84075748
Texture,Silt content at 15 cm deep,"Sunbury, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,35.31324376
Texture,Silt content at 15 cm deep,"Victoria, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,41.29404243
Texture,Silt content at 15 cm deep,"Westmorland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,32.74825508
Texture,Silt content at 15 cm deep,"York, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,37.98015543
Texture,Silt content at 15 cm deep,"Division No. 1 - Avalon Peninsula-St. John's, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,34.65166133
Texture,Silt content at 15 cm deep,"Division No. 10 - Labrador-Happy Valley-Goose Bay, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,31.36705175
Texture,Silt content at 15 cm deep,"Division No. 11 - Nunatsiavut-Nain, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,34.1642253
Texture,Silt content at 15 cm deep,"Division No. 2 - Burin Peninsula-Marystown, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,36.29642933
Texture,Silt content at 15 cm deep,"Division No. 3 - South Coast-Channel-Port aux Basques, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,34.92559442
Texture,Silt content at 15 cm deep,"Division No. 4 - St. George's-Stephenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,32.64323486
Texture,Silt content at 15 cm deep,"Division No. 5 - Humber District-Corner Brook, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,32.08869969
Texture,Silt content at 15 cm deep,"Division No. 6 - Central Newfoundland-Grand Falls-Windsor, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,33.73825191
Texture,Silt content at 15 cm deep,"Division No. 7 - Bonavista/Trinity-Clarenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,35.35259292
Texture,Silt content at 15 cm deep,"Division No. 8 - Notre Dame Bay-Lewisporte, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,32.43938623
Texture,Silt content at 15 cm deep,"Division No. 9 - Northern Peninsula-St. Anthony, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,32.38547563
Texture,Silt content at 15 cm deep,"Fort Smith, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,34.9040796
Texture,Silt content at 15 cm deep,"Inuvik, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,36.12239043
Texture,Silt content at 15 cm deep,"Annapolis, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,38.63651569
Texture,Silt content at 15 cm deep,"Antigonish, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,38.20759622
Texture,Silt content at 15 cm deep,"Cape Breton, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,35.06716606
Texture,Silt content at 15 cm deep,"Colchester, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,39.27323313
Texture,Silt content at 15 cm deep,"Cumberland, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,35.91179884
Texture,Silt content at 15 cm deep,"Digby, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,37.28075936
