Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Silt content at 30 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.18602435
Texture,Silt content at 30 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,30.40499305
Texture,Silt content at 30 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.42741151
Texture,Silt content at 30 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,29.02611817
Texture,Silt content at 30 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.97208439
Texture,Silt content at 30 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.75725976
Texture,Silt content at 30 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.35472345
Texture,Silt content at 30 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,29.2896053
Texture,Silt content at 30 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,31.06518018
Texture,Silt content at 30 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.25140225
Texture,Silt content at 30 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.58356432
Texture,Silt content at 30 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.57787714
Texture,Silt content at 30 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.95212071
Texture,Silt content at 30 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,31.94834809
Texture,Silt content at 30 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.5051434
Texture,Silt content at 30 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.4076891
Texture,Silt content at 30 cm deep,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,30.93873901
Texture,Silt content at 30 cm deep,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.65536292
Texture,Silt content at 30 cm deep,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.57255457
Texture,Silt content at 30 cm deep,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.05721419
Texture,Silt content at 30 cm deep,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,39.24530432
Texture,Silt content at 30 cm deep,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.5470965
Texture,Silt content at 30 cm deep,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,37.9265901
Texture,Silt content at 30 cm deep,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,34.39144466
Texture,Silt content at 30 cm deep,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.90342931
Texture,Silt content at 30 cm deep,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.71681796
Texture,Silt content at 30 cm deep,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,41.80837894
Texture,Silt content at 30 cm deep,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.27776789
Texture,Silt content at 30 cm deep,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,38.10195246
Texture,Silt content at 30 cm deep,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.73646159
Texture,Silt content at 30 cm deep,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,40.32775892
Texture,Silt content at 30 cm deep,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,33.44566173
Texture,Silt content at 30 cm deep,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,35.90859634
Texture,Silt content at 30 cm deep,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,36.43745543
