Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Clay content at 30 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,28.81522775
Texture,Clay content at 30 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,23.44102305
Texture,Clay content at 30 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.43360305
Texture,Clay content at 30 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.33367678
Texture,Clay content at 30 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.23082617
Texture,Clay content at 30 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,20.05351608
Texture,Clay content at 30 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,14.33140706
Texture,Clay content at 30 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.8254791
Texture,Clay content at 30 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,29.6088182
Texture,Clay content at 30 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.97833879
Texture,Clay content at 30 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,33.16303709
Texture,Clay content at 30 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,28.52081423
Texture,Clay content at 30 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,26.55172655
Texture,Clay content at 30 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,26.19476838
Texture,Clay content at 30 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,28.94896468
Texture,Clay content at 30 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.71570626
Texture,Clay content at 30 cm deep,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.37470079
Texture,Clay content at 30 cm deep,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.8230382
Texture,Clay content at 30 cm deep,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,19.79916209
Texture,Clay content at 30 cm deep,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,11.99029588
Texture,Clay content at 30 cm deep,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,13.65268804
Texture,Clay content at 30 cm deep,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.59581554
Texture,Clay content at 30 cm deep,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,14.47585505
Texture,Clay content at 30 cm deep,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,8.321401752
Texture,Clay content at 30 cm deep,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,8.12665504
Texture,Clay content at 30 cm deep,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,10.22115861
Texture,Clay content at 30 cm deep,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.448440838
Texture,Clay content at 30 cm deep,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.402103308
Texture,Clay content at 30 cm deep,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.05724392
Texture,Clay content at 30 cm deep,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,11.83095497
Texture,Clay content at 30 cm deep,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,15.01019205
