Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Clay content at the surface,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.87451378
Texture,Clay content at the surface,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,20.89314457
Texture,Clay content at the surface,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,21.19363077
Texture,Clay content at the surface,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,17.72911778
Texture,Clay content at the surface,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,19.3963471
Texture,Clay content at the surface,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,15.67119566
Texture,Clay content at the surface,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,13.34919693
Texture,Clay content at the surface,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,21.58079561
Texture,Clay content at the surface,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.18730123
Texture,Clay content at the surface,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,17.9501002
Texture,Clay content at the surface,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,26.77455961
Texture,Clay content at the surface,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,25.22282087
Texture,Clay content at the surface,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,24.25433122
Texture,Clay content at the surface,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.64447049
Texture,Clay content at the surface,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,26.59260326
Texture,Clay content at the surface,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.72363355
Texture,Clay content at the surface,"Division No. 7 - Wainwright, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.01566529
Texture,Clay content at the surface,"Division No. 8 - Red Deer, Alberta",,mass percent,point in time,12/31/16,12/31/16,22.20899211
Texture,Clay content at the surface,"Division No. 9 - Rocky Mountain House, Alberta",,mass percent,point in time,12/31/16,12/31/16,16.14842506
Texture,Clay content at the surface,"Alberni-Clayoquot, British Columbia",,mass percent,point in time,12/31/16,12/31/16,13.02712101
Texture,Clay content at the surface,"Bulkley-Nechako, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.6497915
Texture,Clay content at the surface,"Capital, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.92869342
Texture,Clay content at the surface,"Cariboo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,13.04370034
Texture,Clay content at the surface,"Central Coast, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.344166816
Texture,Clay content at the surface,"Central Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,8.674006086
Texture,Clay content at the surface,"Central Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.897903945
Texture,Clay content at the surface,"Columbia-Shuswap, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.878837568
Texture,Clay content at the surface,"Comox-Strathcona, British Columbia",,mass percent,point in time,12/31/16,12/31/16,10.47870554
Texture,Clay content at the surface,"Cowichan Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.57942841
Texture,Clay content at the surface,"East Kootenay, British Columbia",,mass percent,point in time,12/31/16,12/31/16,11.77847542
Texture,Clay content at the surface,"Fraser-Fort George, British Columbia",,mass percent,point in time,12/31/16,12/31/16,13.68223371
Texture,Clay content at the surface,"Fraser Valley, British Columbia",,mass percent,point in time,12/31/16,12/31/16,8.219164991
Texture,Clay content at the surface,"Greater Vancouver, British Columbia",,mass percent,point in time,12/31/16,12/31/16,11.68801108
Texture,Clay content at the surface,"Kitimat-Stikine, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.246125807
Texture,Clay content at the surface,"Kootenay Boundary, British Columbia",,mass percent,point in time,12/31/16,12/31/16,8.325594774
Texture,Clay content at the surface,"Mount Waddington, British Columbia",,mass percent,point in time,12/31/16,12/31/16,10.79696524
Texture,Clay content at the surface,"Nanaimo, British Columbia",,mass percent,point in time,12/31/16,12/31/16,12.20639103
Texture,Clay content at the surface,"North Okanagan, British Columbia",,mass percent,point in time,12/31/16,12/31/16,10.0596103
Texture,Clay content at the surface,"Northern Rockies, British Columbia",,mass percent,point in time,12/31/16,12/31/16,21.45545257
Texture,Clay content at the surface,"Okanagan-Similkameen, British Columbia",,mass percent,point in time,12/31/16,12/31/16,7.930185743
Texture,Clay content at the surface,"Peace River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,16.77252093
Texture,Clay content at the surface,"Powell River, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.329131224
Texture,Clay content at the surface,"Skeena-Queen Charlotte, British Columbia",,mass percent,point in time,12/31/16,12/31/16,9.693697142
