Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at 15 cm deep,"Division No. 12 - Beausejour Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,39.27840232
Texture,Sand content at 15 cm deep,"Division No. 13 - Selkirk Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,32.9335512
Texture,Sand content at 15 cm deep,"Division No. 14 - South Interlake, Manitoba",,mass percent,point in time,12/31/16,12/31/16,37.90549555
Texture,Sand content at 15 cm deep,"Division No. 15 - Western Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.42256615
Texture,Sand content at 15 cm deep,"Division No. 16 - Roblin Russell Rossburn Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,42.3402497
Texture,Sand content at 15 cm deep,"Division No. 17 - Dauphin, Manitoba",,mass percent,point in time,12/31/16,12/31/16,46.4704357
Texture,Sand content at 15 cm deep,"Division No. 18 - North Interlake Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,37.84179899
Texture,Sand content at 15 cm deep,"Division No. 19 - North East, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.92336831
Texture,Sand content at 15 cm deep,"Division No. 2 - Steinbach Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.22270982
Texture,Sand content at 15 cm deep,"Division No. 20 - Swan River, Manitoba",,mass percent,point in time,12/31/16,12/31/16,46.36569339
Texture,Sand content at 15 cm deep,"Division No. 21 - Flin Flon, Manitoba",,mass percent,point in time,12/31/16,12/31/16,39.53359591
Texture,Sand content at 15 cm deep,"Division No. 22 - Thompson and North Central, Manitoba",,mass percent,point in time,12/31/16,12/31/16,34.50202466
Texture,Sand content at 15 cm deep,"Division No. 23 - Churchill and Northern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,49.98243715
Texture,Sand content at 15 cm deep,"Division No. 3 - Pembina Valley, Manitoba",,mass percent,point in time,12/31/16,12/31/16,34.66465185
Texture,Sand content at 15 cm deep,"Division No. 4 - Pilot Mound Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,41.57765087
Texture,Sand content at 15 cm deep,"Division No. 5 - South West, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.81068513
Texture,Sand content at 15 cm deep,"Division No. 6 - Virden Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,47.64220539
Texture,Sand content at 15 cm deep,"Division No. 7 - Brandon Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,50.94303808
Texture,Sand content at 15 cm deep,"Division No. 8 - Central Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,56.28570722
Texture,Sand content at 15 cm deep,"Division No. 9 - Portage la Prairie Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.54318692
Texture,Sand content at 15 cm deep,"Albert, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,48.86317654
Texture,Sand content at 15 cm deep,"Carleton, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,44.73871911
Texture,Sand content at 15 cm deep,"Charlotte, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,52.84825901
Texture,Sand content at 15 cm deep,"Gloucester, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,52.60768516
Texture,Sand content at 15 cm deep,"Kent, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,55.74850625
Texture,Sand content at 15 cm deep,"Kings, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,47.5189594
Texture,Sand content at 15 cm deep,"Madawaska, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,38.91749271
Texture,Sand content at 15 cm deep,"Northumberland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,51.52324606
Texture,Sand content at 15 cm deep,"Queens, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,50.59239633
Texture,Sand content at 15 cm deep,"Restigouche, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,42.50266347
Texture,Sand content at 15 cm deep,"Saint John, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,49.3283839
Texture,Sand content at 15 cm deep,"Sunbury, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,51.17493282
Texture,Sand content at 15 cm deep,"Victoria, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,42.58174743
Texture,Sand content at 15 cm deep,"Westmorland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,52.55274001
Texture,Sand content at 15 cm deep,"York, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,49.31316496
Texture,Sand content at 15 cm deep,"Division No. 1 - Avalon Peninsula-St. John's, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,51.45465951
Texture,Sand content at 15 cm deep,"Division No. 10 - Labrador-Happy Valley-Goose Bay, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,59.33135622
Texture,Sand content at 15 cm deep,"Division No. 11 - Nunatsiavut-Nain, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,56.15513711
Texture,Sand content at 15 cm deep,"Division No. 2 - Burin Peninsula-Marystown, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,49.95041743
Texture,Sand content at 15 cm deep,"Division No. 3 - South Coast-Channel-Port aux Basques, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,53.29410387
Texture,Sand content at 15 cm deep,"Division No. 4 - St. George's-Stephenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,55.4326947
