Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at 30 cm deep,"Division No. 1 - Medicine Hat, Alberta",,mass percent,point in time,12/31/16,12/31/16,36.00574033
Texture,Sand content at 30 cm deep,"Division No. 10 - Lloydminster, Alberta",,mass percent,point in time,12/31/16,12/31/16,46.14979986
Texture,Sand content at 30 cm deep,"Division No. 11 - Edmonton, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.15077059
Texture,Sand content at 30 cm deep,"Division No. 12 - Cold Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,48.64474537
Texture,Sand content at 30 cm deep,"Division No. 13 - Whitecourt, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.80057092
Texture,Sand content at 30 cm deep,"Division No. 14 - Hinton, Alberta",,mass percent,point in time,12/31/16,12/31/16,42.18566897
Texture,Sand content at 30 cm deep,"Division No. 15 - Canmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,48.29197138
Texture,Sand content at 30 cm deep,"Division No. 16 - Fort McMurray, Alberta",,mass percent,point in time,12/31/16,12/31/16,45.88506841
Texture,Sand content at 30 cm deep,"Division No. 17 - Slave Lake, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.33068023
Texture,Sand content at 30 cm deep,"Division No. 18 - Grande Cache, Alberta",,mass percent,point in time,12/31/16,12/31/16,39.77174385
Texture,Sand content at 30 cm deep,"Division No. 19 - Grande Prairie, Alberta",,mass percent,point in time,12/31/16,12/31/16,32.26144516
Texture,Sand content at 30 cm deep,"Division No. 2 - Lethbridge, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.91604613
Texture,Sand content at 30 cm deep,"Division No. 3 - Claresholm, Alberta",,mass percent,point in time,12/31/16,12/31/16,35.50373544
Texture,Sand content at 30 cm deep,"Division No. 4 - Hanna, Alberta",,mass percent,point in time,12/31/16,12/31/16,41.86765652
Texture,Sand content at 30 cm deep,"Division No. 5 - Strathmore, Alberta",,mass percent,point in time,12/31/16,12/31/16,34.56132765
Texture,Sand content at 30 cm deep,"Division No. 6 - Calgary, Alberta",,mass percent,point in time,12/31/16,12/31/16,37.8965288
