Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at the surface,"Division No. 15 - Western Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.83274083
Texture,Sand content at the surface,"Division No. 16 - Roblin Russell Rossburn Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,42.70757973
Texture,Sand content at the surface,"Division No. 17 - Dauphin, Manitoba",,mass percent,point in time,12/31/16,12/31/16,46.80650775
Texture,Sand content at the surface,"Division No. 18 - North Interlake Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,38.65787451
Texture,Sand content at the surface,"Division No. 19 - North East, Manitoba",,mass percent,point in time,12/31/16,12/31/16,44.67063827
Texture,Sand content at the surface,"Division No. 2 - Steinbach Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.30674712
Texture,Sand content at the surface,"Division No. 20 - Swan River, Manitoba",,mass percent,point in time,12/31/16,12/31/16,46.15053923
Texture,Sand content at the surface,"Division No. 21 - Flin Flon, Manitoba",,mass percent,point in time,12/31/16,12/31/16,40.13885105
Texture,Sand content at the surface,"Division No. 22 - Thompson and North Central, Manitoba",,mass percent,point in time,12/31/16,12/31/16,34.98014307
Texture,Sand content at the surface,"Division No. 23 - Churchill and Northern Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,49.81867311
Texture,Sand content at the surface,"Division No. 3 - Pembina Valley, Manitoba",,mass percent,point in time,12/31/16,12/31/16,35.15531126
Texture,Sand content at the surface,"Division No. 4 - Pilot Mound Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,42.15817849
Texture,Sand content at the surface,"Division No. 5 - South West, Manitoba",,mass percent,point in time,12/31/16,12/31/16,44.0855677
Texture,Sand content at the surface,"Division No. 6 - Virden Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,47.90301813
Texture,Sand content at the surface,"Division No. 7 - Brandon Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,51.19465045
Texture,Sand content at the surface,"Division No. 8 - Central Manitoba, Manitoba",,mass percent,point in time,12/31/16,12/31/16,56.55064533
Texture,Sand content at the surface,"Division No. 9 - Portage la Prairie Area, Manitoba",,mass percent,point in time,12/31/16,12/31/16,43.98396922
Texture,Sand content at the surface,"Albert, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,47.86186203
Texture,Sand content at the surface,"Carleton, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,43.8035103
Texture,Sand content at the surface,"Charlotte, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,52.01648216
Texture,Sand content at the surface,"Gloucester, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,51.81795797
Texture,Sand content at the surface,"Kent, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,55.42046895
Texture,Sand content at the surface,"Kings, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,46.64315761
Texture,Sand content at the surface,"Madawaska, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,37.10848397
Texture,Sand content at the surface,"Northumberland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,50.61447763
Texture,Sand content at the surface,"Queens, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,49.89264586
Texture,Sand content at the surface,"Restigouche, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,40.472458
Texture,Sand content at the surface,"Saint John, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,48.11017861
Texture,Sand content at the surface,"Sunbury, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,50.6068714
Texture,Sand content at the surface,"Victoria, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,41.10862596
Texture,Sand content at the surface,"Westmorland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,52.03652418
Texture,Sand content at the surface,"York, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,48.47886021
Texture,Sand content at the surface,"Division No. 1 - Avalon Peninsula-St. John's, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,47.86084191
Texture,Sand content at the surface,"Division No. 10 - Labrador-Happy Valley-Goose Bay, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,58.50047902
Texture,Sand content at the surface,"Division No. 11 - Nunatsiavut-Nain, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,55.59862799
Texture,Sand content at the surface,"Division No. 2 - Burin Peninsula-Marystown, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,46.81538159
Texture,Sand content at the surface,"Division No. 3 - South Coast-Channel-Port aux Basques, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,50.83974643
Texture,Sand content at the surface,"Division No. 4 - St. George's-Stephenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,53.05875024
Texture,Sand content at the surface,"Division No. 5 - Humber District-Corner Brook, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,55.75468227
Texture,Sand content at the surface,"Division No. 6 - Central Newfoundland-Grand Falls-Windsor, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,52.9595997
Texture,Sand content at the surface,"Division No. 7 - Bonavista/Trinity-Clarenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,49.53303159
Texture,Sand content at the surface,"Division No. 8 - Notre Dame Bay-Lewisporte, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,53.40467706
Texture,Sand content at the surface,"Division No. 9 - Northern Peninsula-St. Anthony, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,55.15716737
Texture,Sand content at the surface,"Fort Smith, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,46.80669373
Texture,Sand content at the surface,"Inuvik, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,45.20997069
Texture,Sand content at the surface,"Annapolis, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,47.65973566
Texture,Sand content at the surface,"Antigonish, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,45.53289046
Texture,Sand content at the surface,"Cape Breton, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,48.45627472
Texture,Sand content at the surface,"Colchester, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,45.38366223
Texture,Sand content at the surface,"Cumberland, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,49.85539168
Texture,Sand content at the surface,"Digby, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,49.51816307
Texture,Sand content at the surface,"Guysborough, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,44.72799669
Texture,Sand content at the surface,"Halifax, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,46.44223367
Texture,Sand content at the surface,"Hants, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,46.15952055
Texture,Sand content at the surface,"Inverness, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,48.96056177
Texture,Sand content at the surface,"Kings, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,47.83447399
