,start_date,end_date,value,unit_id,input_unit_id,input_unit_scale,reporting_date,metric_id,item_id,region_id,partner_region_id,frequency_id,item_name,metric_name,region_name,province_name,year
7182,2020-01-30T00:00:00.000Z,2020-01-30T00:00:00.000Z,0.422743327047398,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7183,2020-01-31T00:00:00.000Z,2020-01-31T00:00:00.000Z,1.46538599709664,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7184,2020-02-01T00:00:00.000Z,2020-02-01T00:00:00.000Z,2.43191672486028,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7185,2020-02-02T00:00:00.000Z,2020-02-02T00:00:00.000Z,0.977746029076637,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7186,2020-02-03T00:00:00.000Z,2020-02-03T00:00:00.000Z,0.217969801875116,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7187,2020-02-04T00:00:00.000Z,2020-02-04T00:00:00.000Z,0.193842911095547,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7188,2020-02-05T00:00:00.000Z,2020-02-05T00:00:00.000Z,0.819788151336881,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7189,2020-02-06T00:00:00.000Z,2020-02-06T00:00:00.000Z,0.434903560270906,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7190,2020-02-07T00:00:00.000Z,2020-02-07T00:00:00.000Z,0.024389115703888,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7191,2020-02-08T00:00:00.000Z,2020-02-08T00:00:00.000Z,0.817293049035256,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7192,2020-02-09T00:00:00.000Z,2020-02-09T00:00:00.000Z,0.871310753652311,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7193,2020-02-10T00:00:00.000Z,2020-02-10T00:00:00.000Z,0.508722097143964,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7194,2020-02-11T00:00:00.000Z,2020-02-11T00:00:00.000Z,2.09095360308912,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
7195,2020-02-12T00:00:00.000Z,2020-02-12T00:00:00.000Z,0.860404230860423,2,2,1,,2100031,2039,10556,0,1,Rainfall,Precipitation Quantity,Alberta,,2020
